release,name,version,language,gender,company,voice,illust,image_url,dlsite_url
未定,彩澄りりせ,2,日本語,女声,株式会社 AHS,本宮佳奈,あり,,
未定,彩澄しゅお,2,日本語,女声,株式会社 AHS,櫻井海亜,あり,,
2025/04/25,夢ノ結唱 POPY,2,日本語,女声,ブシロード,戸山香澄,あり,,
2025/04/25,夢ノ結唱 ROSE,2,日本語,女声,ブシロード,湊友希那,あり,,
2025/03/28,夢ノ結唱 HALO,2,日本語,女声,ブシロード,伊藤美来,あり,,
2025/03/28,夢ノ結唱 PASTEL,2,日本語,女声,ブシロード,前島亜美,あり,,
2025/03/27,HXVOC,2,英語,男声,Eclipsed Sounds,Seann Nicols,あり,,
2025/03/27,GALENAIA,2,スペイン語,女声,Eclipsed Sounds,Laura Gómez,あり,,
2025/03/21,氷山キヨテル,2,日本語,男声,株式会社 AHS,比山貴咏史,あり,,
2025/03/21,miki,2,日本語,女声,株式会社 AHS,フルカワミキ,あり,,
2025/03/21,宮舞モカ,2,日本語,女声,株式会社 AHS,峯田茉優,あり,,
2025/01/03,海伊 AI,1,中国語,女声,Quadimension,花筝Anly,あり,,
2024/11/27,音街ウナ,1,日本語,女声,株式会社インターネット,田中あいみ,あり,https://img.dlsite.jp/modpub/images2/work/professional/VJ01004000/VJ01003035_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ01003035.html
2024/10/30,花響 琴,1,日本語,女声,株式会社インターネット,立花れおん,あり,https://img.dlsite.jp/modpub/images2/work/professional/VJ01003000/VJ01002897_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ01002897.html
2024/10/24,Felicia,1,英語,女声,Dreamtonics株式会社,非公開,なし,https://img.dlsite.jp/modpub/images2/work/professional/VJ01004000/VJ01003170_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ01003170.html
2024/10/24,Riku,1,日本語,男声,Dreamtonics株式会社,非公開,なし,https://img.dlsite.jp/modpub/images2/work/professional/VJ01004000/VJ01003169_img_main.jpg,https://www.dlsite.com/soft/work/=/product_id/VJ01003169.html
2024/10/16,紫門トパーズ,1,日本語,女声,Studio ENTRE,Elley,あり,,
2024/10/11,NYL,1,英語,男声,Eclipsed Sounds,Zay Driver,あり,,
